symptom1,symptom2,symptom3,symptom4,OTC Medicine
Nausea,Cough,Fever,Toothache,Ibuprofen
Cough,Fever,Sinus pressure,Dry cough,Paracetamol
Hay fever,Sinus pressure,Runny nose,Hangover,Ginger supplements
Hangover,Fever,Menstrual cramps,Headache,Ginger supplements
Fever,Insomnia,Nausea,Dry cough,Cold-EEZE
Menstrual cramps,Nausea,Fever,Headache,Aspirin
Hangover,Dry cough,Menstrual cramps,Dry skin,Ginger supplements
Headache,Hay fever,Menstrual cramps,Runny nose,Loratadine
Toothache,Acid reflux,Common cold,Dry skin,Aspirin
Dizziness,Sinus pressure,Runny nose,Toothache,Ibuprofen
Runny nose,Dizziness,Hay fever,Menstrual cramps,Electrolyte solution (Pedialyte)
Nausea,Fever,Cough,Hangover,Electrolyte solution (Pedialyte)
Dry cough,Common cold,Insomnia,Nausea,Ibuprofen
Dry cough,Runny nose,Acid reflux,Menstrual cramps,Proton Pump Inhibitor (Omeprazole)
Dry skin,Runny nose,Dizziness,Cough,Moisturizing lotion
Acid reflux,Common cold,Dry cough,Fever,Electrolyte solution (Pedialyte)
Common cold,Muscle pain,Heartburn,Acid reflux,Ibuprofen
Sinus pressure,Fever,Heartburn,Runny nose,Antacid (Tums)
Acid reflux,Menstrual cramps,Runny nose,Dry skin,Ibuprofen
Cough,Insomnia,Heartburn,Common cold,Antacid (Tums)
Toothache,Dry skin,Nausea,Hangover,Dimenhydrinate
Dizziness,Dry skin,Headache,Runny nose,Nasal spray (Flonase)
Hangover,Fever,Dizziness,Hay fever,Paracetamol
Menstrual cramps,Headache,Runny nose,Heartburn,Antacid (Rolaids)
Hay fever,Common cold,Fever,Acid reflux,Electrolyte solution (Pedialyte)
Dry cough,Common cold,Cough,Runny nose,Cold-EEZE
Menstrual cramps,Insomnia,Allergic rash,Dry skin,Antihistamine (Benadryl)
Allergic rash,Muscle pain,Nausea,Dizziness,Electrolyte solution (Pedialyte)
Dry skin,Insomnia,Allergic rash,Common cold,Valerian root
Muscle pain,Hay fever,Nausea,Menstrual cramps,Electrolyte solution (Pedialyte)
Nausea,Sinus pressure,Acid reflux,Headache,Pseudoephedrine
Allergic rash,Cough,Hangover,Menstrual cramps,Antihistamine (Benadryl)
Cough,Sinus pressure,Diarrhea,Menstrual cramps,Paracetamol
Fever,Allergic rash,Runny nose,Menstrual cramps,Antihistamine (Benadryl)
Acid reflux,Dry cough,Common cold,Insomnia,Proton Pump Inhibitor (Omeprazole)
Nausea,Insomnia,Headache,Dizziness,Melatonin
Sinus pressure,Menstrual cramps,Fever,Hay fever,Cold-EEZE
Headache,Nausea,Cough,Hay fever,Ibuprofen
Dry cough,Sinus pressure,Common cold,Heartburn,Proton Pump Inhibitor (Omeprazole)
Menstrual cramps,Dry cough,Toothache,Headache,Paracetamol
Dry cough,Heartburn,Allergic rash,Headache,Antihistamine (Benadryl)
Dizziness,Muscle pain,Hay fever,Fever,Antihistamine (Claritin)
Hay fever,Nausea,Dry cough,Toothache,Loperamide
Dry cough,Acid reflux,Common cold,Fever,Antacid (Tums)
Hay fever,Dry cough,Nausea,Acid reflux,Antihistamine (Claritin)
Menstrual cramps,Toothache,Sinus pressure,Cough,Orajel
Hay fever,Hangover,Dry skin,Acid reflux,Antacid (Tums)
Insomnia,Muscle pain,Cough,Fever,Diphenhydramine
Heartburn,Acid reflux,Headache,Insomnia,Diphenhydramine
Heartburn,Acid reflux,Fever,Allergic rash,Antihistamine (Claritin)
Sinus pressure,Hangover,Muscle pain,Insomnia,Electrolyte solution (Pedialyte)
Dry cough,Toothache,Hangover,Nausea,Guaifenesin
Hay fever,Nausea,Dry skin,Toothache,Ginger supplements
Heartburn,Sinus pressure,Common cold,Acid reflux,Antacid (Tums)
Diarrhea,Sinus pressure,Insomnia,Headache,Ibuprofen
Heartburn,Insomnia,Fever,Common cold,Guaifenesin
Insomnia,Menstrual cramps,Dizziness,Dry skin,Electrolyte solution (Pedialyte)
Heartburn,Dizziness,Hangover,Common cold,Bismuth subsalicylate
Hangover,Dry skin,Insomnia,Fever,Valerian root
Runny nose,Headache,Dry cough,Dizziness,Ginkgo biloba
Common cold,Insomnia,Dry skin,Dizziness,Melatonin
Common cold,Allergic rash,Dizziness,Dry cough,Dextromethorphan
Dizziness,Insomnia,Nausea,Runny nose,Melatonin
Allergic rash,Headache,Cough,Nausea,Ginger supplements
Runny nose,Toothache,Menstrual cramps,Nausea,Paracetamol
Acid reflux,Nausea,Toothache,Allergic rash,Antacid (Rolaids)
Heartburn,Menstrual cramps,Cough,Hay fever,Guaifenesin
Heartburn,Hangover,Fever,Sinus pressure,Aspirin
Hangover,Acid reflux,Muscle pain,Runny nose,Aspirin
Dizziness,Dry cough,Fever,Diarrhea,Cold-EEZE
Dry skin,Dry cough,Hay fever,Acid reflux,Nasal spray (Flonase)
Dry skin,Menstrual cramps,Sinus pressure,Fever,Pseudoephedrine
Heartburn,Acid reflux,Toothache,Diarrhea,Ibuprofen
Headache,Cough,Heartburn,Nausea,Dextromethorphan
Common cold,Hangover,Heartburn,Sinus pressure,Proton Pump Inhibitor (Omeprazole)
Heartburn,Hangover,Dry cough,Common cold,Guaifenesin
Hangover,Hay fever,Toothache,Dry cough,Ginger supplements
Heartburn,Sinus pressure,Allergic rash,Muscle pain,Antacid (Tums)
Dry cough,Fever,Dry skin,Diarrhea,Probiotic
Fever,Toothache,Hangover,Diarrhea,Paracetamol
Diarrhea,Dizziness,Heartburn,Runny nose,Antacid (Rolaids)
Insomnia,Fever,Hangover,Toothache,Melatonin
Cough,Fever,Diarrhea,Muscle pain,Electrolyte solution (Pedialyte)
Diarrhea,Hay fever,Hangover,Headache,Loratadine
Toothache,Diarrhea,Sinus pressure,Common cold,Pseudoephedrine
Hangover,Common cold,Cough,Nausea,Cold-EEZE
Menstrual cramps,Dizziness,Common cold,Runny nose,Dimenhydrinate
Hay fever,Cough,Menstrual cramps,Nausea,Antihistamine (Claritin)
Nausea,Insomnia,Muscle pain,Headache,Cold-EEZE
Headache,Fever,Nausea,Insomnia,Paracetamol
Dry cough,Insomnia,Dizziness,Allergic rash,Honey
Insomnia,Dizziness,Cough,Dry cough,Ginkgo biloba
Cough,Insomnia,Dizziness,Hangover,Cold-EEZE
Heartburn,Dizziness,Acid reflux,Dry skin,Ginger supplements
Toothache,Insomnia,Dry skin,Muscle pain,Valerian root
Muscle pain,Diarrhea,Dry cough,Insomnia,Dextromethorphan
Menstrual cramps,Insomnia,Common cold,Fever,Electrolyte solution (Pedialyte)
Diarrhea,Sinus pressure,Runny nose,Toothache,Orajel
Fever,Common cold,Acid reflux,Toothache,Bismuth subsalicylate
Dizziness,Acid reflux,Allergic rash,Nausea,Antihistamine (Benadryl)
Dizziness,Cough,Heartburn,Toothache,Cold-EEZE
Toothache,Muscle pain,Hay fever,Diarrhea,Antihistamine (Benadryl)
Dizziness,Dry skin,Dry cough,Common cold,Ibuprofen
Hangover,Diarrhea,Acid reflux,Cough,Electrolyte solution (Pedialyte)
Common cold,Heartburn,Fever,Nausea,Ginger supplements
Common cold,Dry skin,Toothache,Diarrhea,Petroleum jelly
Muscle pain,Sinus pressure,Runny nose,Hay fever,Nasal spray (Flonase)
Common cold,Headache,Dry skin,Muscle pain,Cold-EEZE
Cough,Acid reflux,Heartburn,Menstrual cramps,Proton Pump Inhibitor (Omeprazole)
Common cold,Menstrual cramps,Headache,Diarrhea,Loperamide
Allergic rash,Dizziness,Fever,Cough,Paracetamol
Dry cough,Toothache,Sinus pressure,Hay fever,Dextromethorphan
Menstrual cramps,Muscle pain,Runny nose,Common cold,Nasal spray (Flonase)
Common cold,Cough,Dry skin,Runny nose,Petroleum jelly
Acid reflux,Dizziness,Insomnia,Sinus pressure,Proton Pump Inhibitor (Omeprazole)
Sinus pressure,Dry skin,Hangover,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Acid reflux,Common cold,Cough,Headache,Proton Pump Inhibitor (Omeprazole)
Allergic rash,Dry cough,Insomnia,Fever,Honey
Diarrhea,Hay fever,Fever,Muscle pain,Probiotic
Dizziness,Nausea,Hay fever,Heartburn,Antacid (Rolaids)
Headache,Hangover,Fever,Dizziness,Ginkgo biloba
Dry cough,Hay fever,Runny nose,Diarrhea,Pseudoephedrine
Headache,Menstrual cramps,Fever,Toothache,Heating pad
Fever,Muscle pain,Heartburn,Insomnia,Electrolyte solution (Pedialyte)
Hangover,Allergic rash,Hay fever,Heartburn,Ginger supplements
Dizziness,Menstrual cramps,Headache,Diarrhea,Loperamide
Acid reflux,Runny nose,Fever,Muscle pain,Aspirin
Toothache,Dry cough,Cough,Fever,Aspirin
Diarrhea,Dry skin,Cough,Menstrual cramps,Aspirin
Fever,Common cold,Cough,Dizziness,Cold-EEZE
Fever,Common cold,Toothache,Dizziness,Ibuprofen
Heartburn,Toothache,Cough,Acid reflux,Bismuth subsalicylate
Menstrual cramps,Runny nose,Muscle pain,Common cold,Ibuprofen
Runny nose,Cough,Acid reflux,Toothache,Proton Pump Inhibitor (Omeprazole)
Nausea,Heartburn,Diarrhea,Dry skin,Moisturizing lotion
Cough,Toothache,Sinus pressure,Runny nose,Paracetamol
Dry skin,Runny nose,Menstrual cramps,Insomnia,Loratadine
Fever,Hangover,Sinus pressure,Headache,Nasal spray (Flonase)
Dry cough,Acid reflux,Sinus pressure,Cough,Bismuth subsalicylate
Heartburn,Hangover,Runny nose,Sinus pressure,Ginger supplements
Sinus pressure,Dizziness,Insomnia,Heartburn,Antacid (Rolaids)
Common cold,Dry cough,Heartburn,Insomnia,Bismuth subsalicylate
Insomnia,Menstrual cramps,Allergic rash,Dry cough,Guaifenesin
Heartburn,Menstrual cramps,Hay fever,Nausea,Antacid (Rolaids)
Fever,Toothache,Cough,Nausea,Orajel
Insomnia,Acid reflux,Fever,Hay fever,Melatonin
Insomnia,Heartburn,Hay fever,Cough,Antacid (Rolaids)
Sinus pressure,Runny nose,Hay fever,Dry skin,Loratadine
Insomnia,Muscle pain,Runny nose,Allergic rash,Nasal spray (Flonase)
Nausea,Hay fever,Dry cough,Toothache,Cold-EEZE
Diarrhea,Muscle pain,Nausea,Heartburn,Paracetamol
Heartburn,Acid reflux,Toothache,Muscle pain,Aspirin
Cough,Nausea,Menstrual cramps,Diarrhea,Ibuprofen
Common cold,Diarrhea,Runny nose,Nausea,Guaifenesin
Headache,Allergic rash,Sinus pressure,Dizziness,Pseudoephedrine
Insomnia,Dry cough,Runny nose,Hangover,Ginger supplements
Heartburn,Headache,Toothache,Dry skin,Aloe vera gel
Insomnia,Common cold,Nausea,Cough,Electrolyte solution (Pedialyte)
Headache,Hangover,Hay fever,Dry cough,Nasal spray (Flonase)
Runny nose,Allergic rash,Toothache,Dry cough,Orajel
Sinus pressure,Dry skin,Dry cough,Menstrual cramps,Hydrocortisone cream
Headache,Common cold,Acid reflux,Fever,Cold-EEZE
Allergic rash,Nausea,Menstrual cramps,Fever,Heating pad
Hay fever,Headache,Sinus pressure,Heartburn,Nasal spray (Flonase)
Dizziness,Cough,Muscle pain,Diarrhea,Dimenhydrinate
Insomnia,Fever,Acid reflux,Menstrual cramps,Valerian root
Nausea,Muscle pain,Hangover,Cough,Paracetamol
Hangover,Nausea,Headache,Runny nose,Dimenhydrinate
Hangover,Muscle pain,Cough,Toothache,Electrolyte solution (Pedialyte)
Allergic rash,Heartburn,Diarrhea,Cough,Antihistamine (Benadryl)
Allergic rash,Dizziness,Dry cough,Runny nose,Nasal spray (Flonase)
Fever,Runny nose,Dry cough,Dizziness,Pseudoephedrine
Common cold,Heartburn,Cough,Dizziness,Antacid (Tums)
Dizziness,Sinus pressure,Allergic rash,Heartburn,Antihistamine (Benadryl)
Menstrual cramps,Insomnia,Acid reflux,Cough,Lavender oil
Dry cough,Allergic rash,Insomnia,Nausea,Lavender oil
Common cold,Runny nose,Hangover,Menstrual cramps,Nasal spray (Flonase)
Cough,Allergic rash,Headache,Fever,Aspirin
Toothache,Dry skin,Muscle pain,Insomnia,Ibuprofen
Hangover,Toothache,Heartburn,Menstrual cramps,Antacid (Rolaids)
Toothache,Acid reflux,Hangover,Insomnia,Melatonin
Dry cough,Common cold,Allergic rash,Headache,Antihistamine (Benadryl)
Runny nose,Hangover,Nausea,Diarrhea,Loperamide
Insomnia,Toothache,Common cold,Sinus pressure,Ibuprofen
Toothache,Headache,Nausea,Dry cough,Cold-EEZE
Menstrual cramps,Insomnia,Acid reflux,Runny nose,Bismuth subsalicylate
Sinus pressure,Hay fever,Diarrhea,Fever,Loratadine
Cough,Headache,Dizziness,Toothache,Pseudoephedrine
Menstrual cramps,Headache,Common cold,Allergic rash,Heating pad
Muscle pain,Heartburn,Dry cough,Dry skin,Aspirin
Muscle pain,Headache,Toothache,Heartburn,Orajel
Acid reflux,Runny nose,Cough,Common cold,Antacid (Rolaids)
Muscle pain,Runny nose,Cough,Nausea,Electrolyte solution (Pedialyte)
Runny nose,Allergic rash,Headache,Hay fever,Antihistamine (Claritin)
Runny nose,Menstrual cramps,Common cold,Muscle pain,Aspirin
Dry cough,Fever,Sinus pressure,Muscle pain,Honey
Cough,Hay fever,Toothache,Menstrual cramps,Pseudoephedrine
Insomnia,Dry cough,Common cold,Allergic rash,Dextromethorphan
Muscle pain,Acid reflux,Insomnia,Diarrhea,Paracetamol
Hangover,Diarrhea,Heartburn,Acid reflux,Loperamide
Dry cough,Common cold,Runny nose,Dizziness,Electrolyte solution (Pedialyte)
Dry cough,Headache,Hangover,Toothache,Guaifenesin
Allergic rash,Headache,Heartburn,Common cold,Aspirin
Heartburn,Dry skin,Dizziness,Nausea,Hydrocortisone cream
Headache,Common cold,Toothache,Insomnia,Cold-EEZE
Fever,Common cold,Nausea,Diarrhea,Ibuprofen
Sinus pressure,Runny nose,Hay fever,Diarrhea,Probiotic
Fever,Acid reflux,Common cold,Toothache,Cold-EEZE
Headache,Insomnia,Diarrhea,Nausea,Bismuth subsalicylate
Runny nose,Cough,Fever,Allergic rash,Antihistamine (Claritin)
Diarrhea,Nausea,Dry cough,Fever,Guaifenesin
Allergic rash,Heartburn,Toothache,Cough,Antacid (Tums)
Menstrual cramps,Cough,Runny nose,Dry cough,Aspirin
Hay fever,Fever,Allergic rash,Dry skin,Loratadine
Menstrual cramps,Runny nose,Insomnia,Dry skin,Heating pad
Common cold,Heartburn,Insomnia,Toothache,Antacid (Rolaids)
Menstrual cramps,Heartburn,Runny nose,Fever,Heating pad
Menstrual cramps,Common cold,Muscle pain,Allergic rash,Guaifenesin
Headache,Toothache,Diarrhea,Muscle pain,Probiotic
Allergic rash,Dry cough,Nausea,Runny nose,Loperamide
Heartburn,Acid reflux,Hangover,Diarrhea,Aspirin
Muscle pain,Dry cough,Hangover,Hay fever,Electrolyte solution (Pedialyte)
Cough,Insomnia,Allergic rash,Diarrhea,Pseudoephedrine
Muscle pain,Menstrual cramps,Common cold,Nausea,Aspirin
Cough,Sinus pressure,Muscle pain,Fever,Ibuprofen
Hay fever,Common cold,Heartburn,Sinus pressure,Bismuth subsalicylate
Heartburn,Fever,Menstrual cramps,Sinus pressure,Antacid (Tums)
Common cold,Allergic rash,Diarrhea,Nausea,Paracetamol
Diarrhea,Headache,Fever,Hay fever,Antihistamine (Benadryl)
Runny nose,Diarrhea,Allergic rash,Muscle pain,Paracetamol
Muscle pain,Toothache,Acid reflux,Cough,Guaifenesin
Dry cough,Heartburn,Hangover,Fever,Proton Pump Inhibitor (Omeprazole)
Heartburn,Cough,Insomnia,Runny nose,Loratadine
Diarrhea,Hay fever,Headache,Toothache,Paracetamol
Heartburn,Common cold,Toothache,Hangover,Ibuprofen
Insomnia,Cough,Sinus pressure,Hangover,Paracetamol
Dry cough,Cough,Dry skin,Nausea,Dimenhydrinate
Toothache,Dizziness,Fever,Acid reflux,Paracetamol
Cough,Nausea,Diarrhea,Common cold,Dimenhydrinate
Toothache,Dry cough,Allergic rash,Cough,Aspirin
Common cold,Runny nose,Cough,Sinus pressure,Loratadine
Sinus pressure,Hay fever,Runny nose,Toothache,Antihistamine (Benadryl)
Dry skin,Headache,Cough,Toothache,Aspirin
Hangover,Heartburn,Insomnia,Common cold,Aspirin
Dry skin,Runny nose,Fever,Diarrhea,Paracetamol
Insomnia,Heartburn,Runny nose,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Common cold,Muscle pain,Menstrual cramps,Fever,Cold-EEZE
Nausea,Dizziness,Dry skin,Cough,Cold-EEZE
Hay fever,Heartburn,Diarrhea,Dry skin,Antihistamine (Benadryl)
Sinus pressure,Dizziness,Toothache,Dry skin,Hydrocortisone cream
Allergic rash,Hay fever,Hangover,Fever,Nasal spray (Flonase)
Acid reflux,Muscle pain,Dizziness,Heartburn,Ginger supplements
Allergic rash,Muscle pain,Dry cough,Hay fever,Hydrocortisone cream
Runny nose,Allergic rash,Common cold,Toothache,Orajel
Menstrual cramps,Heartburn,Sinus pressure,Runny nose,Loratadine
Dry skin,Dry cough,Menstrual cramps,Sinus pressure,Petroleum jelly
Sinus pressure,Runny nose,Insomnia,Muscle pain,Paracetamol
Toothache,Runny nose,Hay fever,Allergic rash,Ibuprofen
Toothache,Diarrhea,Heartburn,Dizziness,Electrolyte solution (Pedialyte)
Nausea,Fever,Muscle pain,Cough,Dimenhydrinate
Hay fever,Insomnia,Muscle pain,Nausea,Antihistamine (Claritin)
Muscle pain,Runny nose,Menstrual cramps,Hay fever,Antihistamine (Claritin)
Hay fever,Nausea,Allergic rash,Insomnia,Antihistamine (Benadryl)
Toothache,Heartburn,Diarrhea,Dry skin,Aspirin
Dry skin,Dizziness,Headache,Sinus pressure,Paracetamol
Muscle pain,Allergic rash,Menstrual cramps,Heartburn,Antacid (Rolaids)
Hangover,Diarrhea,Common cold,Allergic rash,Antihistamine (Benadryl)
Diarrhea,Headache,Muscle pain,Heartburn,Antacid (Tums)
Menstrual cramps,Dry cough,Nausea,Allergic rash,Aspirin
Allergic rash,Hay fever,Runny nose,Dry skin,Antihistamine (Benadryl)
Fever,Cough,Heartburn,Muscle pain,Cold-EEZE
Common cold,Muscle pain,Dry cough,Runny nose,Guaifenesin
Muscle pain,Dry cough,Hangover,Nausea,Ibuprofen
Sinus pressure,Muscle pain,Dizziness,Headache,Ginger supplements
Diarrhea,Dry skin,Dizziness,Insomnia,Electrolyte solution (Pedialyte)
Dizziness,Heartburn,Dry cough,Headache,Dextromethorphan
Muscle pain,Dry cough,Fever,Menstrual cramps,Guaifenesin
Diarrhea,Hangover,Fever,Dizziness,Probiotic
Cough,Insomnia,Hay fever,Headache,Lavender oil
Muscle pain,Menstrual cramps,Runny nose,Heartburn,Bismuth subsalicylate
Cough,Toothache,Nausea,Sinus pressure,Nasal spray (Flonase)
Dry skin,Sinus pressure,Menstrual cramps,Hangover,Moisturizing lotion
Common cold,Cough,Fever,Sinus pressure,Ibuprofen
Sinus pressure,Dry skin,Headache,Fever,Ibuprofen
Hay fever,Dizziness,Insomnia,Nausea,Electrolyte solution (Pedialyte)
Runny nose,Menstrual cramps,Dizziness,Common cold,Loratadine
Fever,Muscle pain,Dry skin,Allergic rash,Aspirin
Dizziness,Hay fever,Headache,Dry cough,Aspirin
Toothache,Fever,Menstrual cramps,Sinus pressure,Heating pad
Muscle pain,Toothache,Heartburn,Sinus pressure,Proton Pump Inhibitor (Omeprazole)
Allergic rash,Diarrhea,Insomnia,Menstrual cramps,Probiotic
Common cold,Runny nose,Hay fever,Insomnia,Loratadine
Dry skin,Menstrual cramps,Cough,Diarrhea,Probiotic
Insomnia,Dry skin,Nausea,Allergic rash,Loperamide
Runny nose,Hangover,Heartburn,Dry skin,Moisturizing lotion
Dizziness,Hangover,Headache,Allergic rash,Ibuprofen
Hangover,Insomnia,Hay fever,Runny nose,Loratadine
Fever,Heartburn,Hangover,Nausea,Dimenhydrinate
Insomnia,Dry cough,Sinus pressure,Dizziness,Electrolyte solution (Pedialyte)
Heartburn,Cough,Headache,Sinus pressure,Guaifenesin
Acid reflux,Hangover,Fever,Common cold,Paracetamol
Menstrual cramps,Toothache,Dry skin,Dry cough,Hydrocortisone cream
Muscle pain,Dry cough,Toothache,Headache,Paracetamol
Dizziness,Dry cough,Common cold,Toothache,Ginkgo biloba
Hangover,Hay fever,Insomnia,Dry cough,Antihistamine (Benadryl)
Diarrhea,Toothache,Allergic rash,Cough,Loperamide
Dry skin,Hay fever,Dry cough,Cough,Dextromethorphan
Headache,Dry cough,Allergic rash,Nausea,Honey
Heartburn,Dizziness,Sinus pressure,Fever,Ginkgo biloba
Dry skin,Dry cough,Toothache,Allergic rash,Aspirin
Acid reflux,Dizziness,Runny nose,Cough,Cold-EEZE
Allergic rash,Menstrual cramps,Cough,Hangover,Paracetamol
Insomnia,Cough,Menstrual cramps,Dry skin,Cold-EEZE
Diarrhea,Dry cough,Dizziness,Hay fever,Loratadine
Runny nose,Common cold,Sinus pressure,Dry skin,Cold-EEZE
Dry skin,Runny nose,Sinus pressure,Toothache,Pseudoephedrine
Dry skin,Insomnia,Hay fever,Heartburn,Bismuth subsalicylate
Menstrual cramps,Heartburn,Common cold,Nausea,Electrolyte solution (Pedialyte)
Nausea,Common cold,Dizziness,Dry cough,Paracetamol
Hangover,Nausea,Fever,Heartburn,Antacid (Tums)
Sinus pressure,Acid reflux,Hangover,Dry skin,Pseudoephedrine
Allergic rash,Dry cough,Menstrual cramps,Dry skin,Honey
Diarrhea,Nausea,Hay fever,Allergic rash,Dimenhydrinate
Runny nose,Acid reflux,Toothache,Menstrual cramps,Antacid (Tums)
Runny nose,Dizziness,Common cold,Nausea,Ibuprofen
Cough,Dry skin,Acid reflux,Diarrhea,Dextromethorphan
Diarrhea,Menstrual cramps,Insomnia,Acid reflux,Paracetamol
Acid reflux,Menstrual cramps,Muscle pain,Headache,Paracetamol
Sinus pressure,Fever,Insomnia,Toothache,Aspirin
Muscle pain,Acid reflux,Hay fever,Common cold,Antacid (Tums)
Hangover,Heartburn,Muscle pain,Cough,Ibuprofen
Hay fever,Dry skin,Toothache,Diarrhea,Petroleum jelly
Dry skin,Nausea,Muscle pain,Menstrual cramps,Moisturizing lotion
Dry skin,Heartburn,Acid reflux,Muscle pain,Antacid (Tums)
Fever,Allergic rash,Hay fever,Muscle pain,Paracetamol
Headache,Heartburn,Dry cough,Toothache,Guaifenesin
Common cold,Dry cough,Muscle pain,Acid reflux,Cold-EEZE
Cough,Allergic rash,Common cold,Hangover,Ginger supplements
Common cold,Dry skin,Hangover,Cough,Ginger supplements
Cough,Sinus pressure,Hay fever,Heartburn,Loratadine
Toothache,Dry cough,Insomnia,Heartburn,Valerian root
Cough,Headache,Allergic rash,Runny nose,Loratadine
Hangover,Dry skin,Toothache,Dry cough,Ibuprofen
Runny nose,Acid reflux,Muscle pain,Menstrual cramps,Aspirin
Nausea,Insomnia,Sinus pressure,Hay fever,Ginger supplements
Sinus pressure,Acid reflux,Hangover,Common cold,Electrolyte solution (Pedialyte)
Allergic rash,Dry skin,Headache,Toothache,Ibuprofen
Fever,Insomnia,Dry skin,Dizziness,Valerian root
Hay fever,Fever,Dry cough,Heartburn,Electrolyte solution (Pedialyte)
Toothache,Dizziness,Nausea,Diarrhea,Ginkgo biloba
Toothache,Dizziness,Dry cough,Cough,Honey
Headache,Insomnia,Nausea,Sinus pressure,Saline nasal spray
Nausea,Hangover,Toothache,Common cold,Guaifenesin
Fever,Toothache,Diarrhea,Sinus pressure,Probiotic
Dry skin,Runny nose,Fever,Common cold,Petroleum jelly
Dry cough,Dry skin,Fever,Nausea,Ginger supplements
Menstrual cramps,Diarrhea,Heartburn,Sinus pressure,Saline nasal spray
Headache,Nausea,Insomnia,Dry cough,Dextromethorphan
Common cold,Nausea,Toothache,Cough,Aspirin
Dizziness,Nausea,Insomnia,Cough,Loperamide
Sinus pressure,Common cold,Dry cough,Nausea,Saline nasal spray
Dry cough,Common cold,Hay fever,Dry skin,Dextromethorphan
Common cold,Muscle pain,Sinus pressure,Heartburn,Bismuth subsalicylate
Cough,Allergic rash,Diarrhea,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Acid reflux,Hay fever,Diarrhea,Nausea,Antacid (Tums)
Runny nose,Allergic rash,Hay fever,Muscle pain,Loratadine
Fever,Nausea,Muscle pain,Diarrhea,Probiotic
Hay fever,Heartburn,Dizziness,Sinus pressure,Antacid (Rolaids)
Fever,Dry skin,Insomnia,Diarrhea,Probiotic
Runny nose,Toothache,Dry cough,Dizziness,Dextromethorphan
Runny nose,Dry skin,Hangover,Headache,Cold-EEZE
Cough,Fever,Nausea,Toothache,Orajel
Toothache,Dry cough,Allergic rash,Insomnia,Honey
Nausea,Toothache,Cough,Menstrual cramps,Ibuprofen
Nausea,Heartburn,Fever,Dry cough,Loperamide
Toothache,Allergic rash,Runny nose,Common cold,Paracetamol
Toothache,Dizziness,Heartburn,Hay fever,Ibuprofen
Dry skin,Runny nose,Fever,Heartburn,Nasal spray (Flonase)
Common cold,Insomnia,Fever,Diarrhea,Guaifenesin
Common cold,Dizziness,Acid reflux,Nausea,Proton Pump Inhibitor (Omeprazole)
Diarrhea,Insomnia,Muscle pain,Acid reflux,Melatonin
Muscle pain,Dry skin,Dry cough,Dizziness,Ginkgo biloba
Acid reflux,Headache,Nausea,Heartburn,Proton Pump Inhibitor (Omeprazole)
Hangover,Dry skin,Acid reflux,Runny nose,Pseudoephedrine
Toothache,Menstrual cramps,Common cold,Insomnia,Guaifenesin
Muscle pain,Headache,Common cold,Allergic rash,Ibuprofen
Fever,Dizziness,Common cold,Nausea,Loperamide
Menstrual cramps,Sinus pressure,Diarrhea,Allergic rash,Antihistamine (Claritin)
Heartburn,Insomnia,Dry skin,Menstrual cramps,Aspirin
Nausea,Heartburn,Menstrual cramps,Insomnia,Paracetamol
Menstrual cramps,Hangover,Toothache,Fever,Ibuprofen
Dry skin,Nausea,Heartburn,Diarrhea,Loperamide
Sinus pressure,Headache,Dizziness,Muscle pain,Aspirin
Nausea,Hangover,Dizziness,Muscle pain,Ginger supplements
Headache,Dizziness,Menstrual cramps,Dry skin,Hydrocortisone cream
Insomnia,Toothache,Dizziness,Fever,Ginkgo biloba
Hangover,Menstrual cramps,Dry cough,Runny nose,Guaifenesin
Hangover,Allergic rash,Sinus pressure,Hay fever,Electrolyte solution (Pedialyte)
Dry skin,Hay fever,Nausea,Acid reflux,Ginger supplements
Fever,Common cold,Toothache,Cough,Ibuprofen
Menstrual cramps,Dizziness,Common cold,Nausea,Aspirin
Runny nose,Common cold,Allergic rash,Menstrual cramps,Pseudoephedrine
Dry skin,Muscle pain,Headache,Sinus pressure,Hydrocortisone cream
Insomnia,Cough,Dry skin,Sinus pressure,Petroleum jelly
Muscle pain,Menstrual cramps,Heartburn,Allergic rash,Antihistamine (Claritin)
Insomnia,Common cold,Hay fever,Allergic rash,Nasal spray (Flonase)
Common cold,Hay fever,Heartburn,Dry skin,Proton Pump Inhibitor (Omeprazole)
Toothache,Runny nose,Sinus pressure,Headache,Nasal spray (Flonase)
Heartburn,Nausea,Common cold,Hay fever,Ginger supplements
Hangover,Common cold,Diarrhea,Menstrual cramps,Cold-EEZE
Hangover,Sinus pressure,Muscle pain,Allergic rash,Electrolyte solution (Pedialyte)
Dry skin,Headache,Hangover,Common cold,Petroleum jelly
Nausea,Hay fever,Runny nose,Headache,Aspirin
Dry cough,Dizziness,Hangover,Cough,Guaifenesin
Common cold,Acid reflux,Hangover,Toothache,Antacid (Tums)
Dry cough,Dizziness,Runny nose,Fever,Dimenhydrinate
Sinus pressure,Common cold,Dry skin,Dry cough,Guaifenesin
Dry cough,Toothache,Insomnia,Hay fever,Melatonin
Runny nose,Insomnia,Hangover,Toothache,Paracetamol
Headache,Dizziness,Diarrhea,Menstrual cramps,Dimenhydrinate
Cough,Runny nose,Diarrhea,Nausea,Loratadine
